Symbol,Date,Close
FB,5/12/2017,150.33
FB,5/15/2017,150.19
FB,5/16/2017,149.78
FB,5/17/2017,144.85
FB,5/18/2017,147.66
FB,5/19/2017,148.06
FB,5/22/2017,148.24
FB,5/23/2017,148.07
FB,5/24/2017,150.04
FB,5/25/2017,151.96
FB,5/26/2017,152.13
FB,5/30/2017,152.38
FB,5/31/2017,151.46
FB,6/1/2017,151.53
FB,6/2/2017,153.61
FB,6/5/2017,153.63
FB,6/6/2017,152.81
FB,6/7/2017,153.12
FB,6/8/2017,154.71
FB,6/9/2017,149.6
FB,6/12/2017,148.44
FB,6/13/2017,150.68
FB,6/14/2017,150.25
FB,6/15/2017,149.8
FB,6/16/2017,150.64
FB,6/19/2017,152.87
FB,6/20/2017,152.25
FB,6/21/2017,153.91
FB,6/22/2017,153.4
FB,6/23/2017,155.07
FB,6/26/2017,153.59
FB,6/27/2017,150.58
FB,6/28/2017,153.24
FB,6/29/2017,151.04
FB,6/30/2017,150.98
FB,7/3/2017,148.43
FB,7/5/2017,150.34
FB,7/6/2017,148.82
FB,7/7/2017,151.44
FB,7/10/2017,153.5
FB,7/11/2017,155.27
FB,7/12/2017,158.9
FB,7/13/2017,159.26
FB,7/14/2017,159.97
FB,7/17/2017,159.73
FB,7/18/2017,162.86
FB,7/19/2017,164.14
FB,7/20/2017,164.53
FB,7/21/2017,164.43
FB,7/24/2017,166
FB,7/25/2017,165.28
FB,7/26/2017,165.61
FB,7/27/2017,170.44
FB,7/28/2017,172.45
FB,7/31/2017,169.25
FB,8/1/2017,169.86
FB,8/2/2017,169.3
FB,8/3/2017,168.59
FB,8/4/2017,169.62
FB,8/7/2017,171.98
FB,8/8/2017,171.23
FB,8/9/2017,171.18
FB,8/10/2017,167.4
FB,8/11/2017,168.08
FB,8/14/2017,170.75
FB,8/15/2017,171
FB,8/16/2017,170
FB,8/17/2017,166.91
FB,8/18/2017,167.41
FB,8/21/2017,167.78
FB,8/22/2017,169.64
FB,8/23/2017,168.71
FB,8/24/2017,167.74
FB,8/25/2017,166.32
FB,8/28/2017,167.24
FB,8/29/2017,168.05
FB,8/30/2017,169.92
FB,8/31/2017,171.97
FB,9/1/2017,172.02
